id;title;length;year;reals;actors;genres;boxoffice
1;The Amazing Spider-Man: Le destin d'un hÃ©ros;142;2014;"Marc Webb
";Andrew Garfield, Emma Stone, Jamie Foxx;Action, Aventure, Fantastique;
2;Captain America: Le soldat de l'hiver;136;2014;"Anthony Russo
, Joe Russo
";Chris Evans, Samuel L. Jackson, Scarlett Johansson;Action, Aventure, Science-Fiction;
3;Divergente;139;2014;"Neil Burger
";Shailene Woodley, Theo James, Kate Winslet;Aventure, Romantique, Science-Fiction;
4;Transcendance;119;2014;"Wally Pfister
";Johnny Depp, Rebecca Hall, Morgan Freeman;Drame, MystÃ¨re, Science-Fiction;
5;La reine des neiges;102;2013;"Chris Buck
, Jennifer Lee
";Kristen Bell, Josh Gad, Idina Menzel;Animation, Aventure, Comedie;
6;NoÃ©;138;2014;"Darren Aronofsky
";Russell Crowe, Jennifer Connelly, Anthony Hopkins;Action, Aventure, Drame;
7;The Grand Budapest hotel;100;2014;"Wes Anderson
";Ralph Fiennes, F. Murray Abraham, Mathieu Amalric;Comedie;
8;Le loup de Wall Street;180;2013;"Martin Scorsese
";Leonardo DiCaprio, Jonah Hill, Margot Robbie;Biopic, Comedie, Crime;
9;Nymphomaniac - Volume 1;118;2013;"Lars von Trier
";Charlotte Gainsbourg, Stellan SkarsgÃ¥rd, Stacy Martin;Drame;
10;Le Hobbit: La dÃ©solation de Smaug;161;2013;"Peter Jackson
";Ian McKellen, Martin Freeman, Richard Armitage;Aventure, Fantastique;
11;Hunger Games: L'embrasement;146;2013;"Francis Lawrence
";Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth;Aventure, Science-Fiction;
12;That Awkward Moment;94;2014;"Tom Gormican
";Zac Efron, Michael B. Jordan, Miles Teller;Comedie, Romantique;
13;American Bluff;138;2013;"David O. Russell
";Christian Bale, Amy Adams, Bradley Cooper;Crime, Drame;
14;The Amazing Spider-Man;136;2012;"Marc Webb
";Andrew Garfield, Emma Stone, Rhys Ifans;Action, Aventure, Fantastique;
15;Man of Steel;143;2013;"Zack Snyder
";Henry Cavill, Amy Adams, Michael Shannon;Action, Aventure, Fantastique;
16;Cet Ã©tÃ©-lÃ ;103;2013;"Nat Faxon
, Jim Rash
";Steve Carell, Toni Collette, Allison Janney;Comedie, Drame;
17;12 Years a Slave;134;2013;"Steve McQueen
";Chiwetel Ejiofor, Michael K. Williams, Michael Fassbender;Biopic, Drame, Historique;
18;La vie rÃªvÃ©e de Walter Mitty;114;2013;"Ben Stiller
";Ben Stiller, Kristen Wiig, Jon Daly;Aventure, Comedie, Drame;
19;Captain America: First Avenger;124;2011;"Joe Johnston
";Chris Evans, Hugo Weaving, Samuel L. Jackson;Action, Aventure, Science-Fiction;
20;Fargo;98;1996;"Joel Coen
, Ethan Coen
";William H. Macy, Frances McDormand, Steve Buscemi;Crime, Drame, Thriller;
21;Snowpiercer - le transperceneige;126;2013;"Joon-ho Bong
";Chris Evans, Jamie Bell, Tilda Swinton;Action, Drame, Science-Fiction;
22;Les dix commandements;220;1956;"Cecil B. DeMille
";Charlton Heston, Yul Brynner, Anne Baxter;Aventure, Drame, Historique;
23;God's Not Dead;113;2014;"Harold Cronk
";Shane Harper, Kevin Sorbo, David A.R. White;Drame;
24;The Raid 2: Berandal;150;2014;"Gareth Evans
";Iko Uwais, Yayan Ruhian, Arifin Putra;Action, Crime, Thriller;
25;Avengers;143;2012;"Joss Whedon
";Robert Downey Jr., Chris Evans, Scarlett Johansson;Action, Science-Fiction;
26;Thor: Le monde des tÃ©nÃ¨bres;112;2013;"Alan Taylor
";Chris Hemsworth, Natalie Portman, Tom Hiddleston;Action, Aventure, Fantastique;
27;Need for Speed;132;2014;"Scott Waugh
";Aaron Paul, Dominic Cooper, Imogen Poots;Action, Crime, Drame;
28;Veronica Mars;107;2014;"Rob Thomas
";Kristen Bell, Jason Dohring, Enrico Colantoni;Comedie, Crime, Drame;
29;300: La naissance d'un empire;102;2014;"Noam Murro
";Sullivan Stapleton, Eva Green, Lena Headey;Action, Drame, Fantastique;
30;La grande aventure Lego;100;2014;"Phil Lord
, Christopher Miller
";Will Arnett, Elizabeth Banks, Alison Brie;Animation, Aventure, Comedie;
31;Hunger Games;142;2012;"Gary Ross
";Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth;Aventure, Science-Fiction;
32;The Hit Girls;112;2012;"Jason Moore
";Anna Kendrick, Brittany Snow, Rebel Wilson;Comedie, Music, Romantique;
33;PompÃ©i;105;2014;"Paul W.S. Anderson
";Kit Harington, Emily Browning, Kiefer Sutherland;Action, Aventure, Drame;
34;Mise Ã  l'Ã©preuve;99;2014;"Tim Story
";Ice Cube, Kevin Hart, Tika Sumpter;Action, Comedie;
35;Dallas Buyers Club;117;2013;"Jean-Marc VallÃ©e
";Matthew McConaughey, Jennifer Garner, Jared Leto;Biopic, Drame, Historique;
36;La lÃ©gende d'Hercule;99;2014;"Renny Harlin
";Kellan Lutz, Gaia Weiss, Scott Adkins;Action, Aventure;
